run,dimension,model,generated_n,valid_n,valid_artifact_rate,valid_accuracy_raw,valid_accuracy_format_normalized,valid_ambiguous_rate_raw,valid_ambiguous_rate_format_normalized,survives_preregistered_rule,failure_reason
core_v2_euler_rk4_pilot_local_001,euler_vs_rk4,ollama__deepseek-coder-v2__lite,18,6,0.3333,1.0000,1.0000,0.0000,0.0000,false,invalid_generation
core_v2_euler_rk4_pilot_local_001,euler_vs_rk4,ollama__qwen2_5-coder__32b,18,18,1.0000,1.0000,1.0000,0.0000,0.0000,true,
core_v2_euler_rk4_pilot_local_sweep_001,euler_vs_rk4,ollama__deepseek-coder-v2__lite,18,6,0.3333,1.0000,1.0000,0.0000,0.0000,false,invalid_generation
core_v2_euler_rk4_pilot_local_sweep_001,euler_vs_rk4,ollama__devstral__latest,18,6,0.3333,1.0000,1.0000,0.0000,0.0000,false,invalid_generation
core_v2_euler_rk4_pilot_local_sweep_001,euler_vs_rk4,ollama__qwen2_5-coder__14b,18,18,1.0000,1.0000,1.0000,0.0000,0.0000,true,
core_v2_euler_rk4_pilot_local_sweep_001,euler_vs_rk4,ollama__qwen2_5-coder__32b,18,18,1.0000,1.0000,1.0000,0.0000,0.0000,true,
core_v2_euler_rk4_pilot_local_sweep_001,euler_vs_rk4,ollama__qwen3-coder__30b,18,3,0.1667,1.0000,1.0000,0.0000,0.0000,false,invalid_generation
core_v2_quadrature_pilot_local_001,trapezoidal_vs_simpson,ollama__qwen2_5-coder__14b,18,18,1.0000,1.0000,1.0000,0.0000,0.0000,true,
core_v2_quadrature_pilot_local_001,trapezoidal_vs_simpson,ollama__qwen2_5-coder__32b,18,18,1.0000,1.0000,1.0000,0.0000,0.0000,true,
core_v2_quadrature_pilot_local_001,trapezoidal_vs_simpson,ollama__qwen3-coder__30b,18,18,1.0000,1.0000,1.0000,0.0000,0.0000,true,
