ci_excludes_zero_increase,class_id,entropy_delta_vs_t0,model,n_recovered,requested_pole,shannon_ci_high,shannon_ci_low,shannon_point,strip_level,task_id,temperature
False,C,0.0,ollama:qwen2.5-coder:14b,10,eager,0.0,0.0,0.0,raw,mixed_signed_vector,0.0
False,C,0.0,ollama:qwen2.5-coder:14b,10,lazy,0.0,0.0,0.0,raw,mixed_signed_vector,0.0
False,C,0.0,ollama:qwen2.5-coder:14b,10,eager,0.0,0.0,0.0,raw,small_positive_vector,0.0
False,C,0.0,ollama:qwen2.5-coder:14b,10,lazy,0.0,0.0,0.0,raw,small_positive_vector,0.0
False,D,0.0,ollama:qwen2.5-coder:14b,10,bfs,0.0,0.0,0.0,raw,branching_1,0.0
False,D,0.0,ollama:qwen2.5-coder:14b,10,dfs,0.0,0.0,0.0,raw,branching_1,0.0
False,E,0.0,ollama:qwen2.5-coder:14b,10,deterministic,0.0,0.0,0.0,raw,letters_8,0.0
False,E,-0.0,ollama:qwen2.5-coder:14b,10,randomized,2.025326,1.418484,2.302585,raw,letters_8,0.0
False,E,0.0,ollama:qwen2.5-coder:14b,10,deterministic,0.0,0.0,0.0,raw,numbers_10,0.0
False,E,-0.0,ollama:qwen2.5-coder:14b,10,randomized,2.025326,1.418484,2.302585,raw,numbers_10,0.0
False,C,0.0,ollama:qwen2.5-coder:14b,10,eager,0.0,0.0,0.0,raw,mixed_signed_vector,0.4
False,C,0.0,ollama:qwen2.5-coder:14b,10,lazy,0.0,0.0,0.0,raw,mixed_signed_vector,0.4
False,C,0.0,ollama:qwen2.5-coder:14b,10,eager,0.0,0.0,0.0,raw,small_positive_vector,0.4
False,C,0.0,ollama:qwen2.5-coder:14b,10,lazy,0.0,0.0,0.0,raw,small_positive_vector,0.4
False,D,0.0,ollama:qwen2.5-coder:14b,10,bfs,0.0,0.0,0.0,raw,branching_1,0.4
False,D,0.0,ollama:qwen2.5-coder:14b,10,dfs,0.0,0.0,0.0,raw,branching_1,0.4
False,E,0.0,ollama:qwen2.5-coder:14b,10,deterministic,0.0,0.0,0.0,raw,letters_8,0.4
False,E,-0.0,ollama:qwen2.5-coder:14b,10,randomized,2.025326,1.418484,2.302585,raw,letters_8,0.4
False,E,0.0,ollama:qwen2.5-coder:14b,10,deterministic,0.0,0.0,0.0,raw,numbers_10,0.4
False,E,-0.0,ollama:qwen2.5-coder:14b,10,randomized,2.025326,1.418484,2.302585,raw,numbers_10,0.4
False,C,0.0,ollama:qwen2.5-coder:14b,10,eager,0.0,0.0,0.0,raw,mixed_signed_vector,0.8
False,C,0.0,ollama:qwen2.5-coder:14b,10,lazy,0.0,0.0,0.0,raw,mixed_signed_vector,0.8
False,C,0.0,ollama:qwen2.5-coder:14b,10,eager,0.0,0.0,0.0,raw,small_positive_vector,0.8
False,C,0.0,ollama:qwen2.5-coder:14b,10,lazy,0.0,0.0,0.0,raw,small_positive_vector,0.8
False,D,0.0,ollama:qwen2.5-coder:14b,10,bfs,0.0,0.0,0.0,raw,branching_1,0.8
False,D,0.0,ollama:qwen2.5-coder:14b,10,dfs,0.0,0.0,0.0,raw,branching_1,0.8
False,E,0.0,ollama:qwen2.5-coder:14b,10,deterministic,0.0,0.0,0.0,raw,letters_8,0.8
False,E,-0.0,ollama:qwen2.5-coder:14b,10,randomized,2.025326,1.418484,2.302585,raw,letters_8,0.8
False,E,0.0,ollama:qwen2.5-coder:14b,10,deterministic,0.0,0.0,0.0,raw,numbers_10,0.8
False,E,-0.0,ollama:qwen2.5-coder:14b,10,randomized,2.025326,1.418484,2.302585,raw,numbers_10,0.8
False,C,0.0,ollama:qwen3-coder:30b,10,eager,0.0,0.0,0.0,raw,mixed_signed_vector,0.0
False,C,0.0,ollama:qwen3-coder:30b,10,lazy,0.0,0.0,0.0,raw,mixed_signed_vector,0.0
False,C,0.0,ollama:qwen3-coder:30b,10,eager,0.0,0.0,0.0,raw,small_positive_vector,0.0
False,C,0.0,ollama:qwen3-coder:30b,10,lazy,0.0,0.0,0.0,raw,small_positive_vector,0.0
False,D,0.0,ollama:qwen3-coder:30b,10,bfs,0.0,0.0,0.0,raw,branching_1,0.0
False,D,0.0,ollama:qwen3-coder:30b,10,dfs,0.0,0.0,0.0,raw,branching_1,0.0
False,E,0.0,ollama:qwen3-coder:30b,10,deterministic,0.0,0.0,0.0,raw,letters_8,0.0
False,E,-0.0,ollama:qwen3-coder:30b,10,randomized,2.025326,1.418484,2.302585,raw,letters_8,0.0
False,E,0.0,ollama:qwen3-coder:30b,10,deterministic,0.0,0.0,0.0,raw,numbers_10,0.0
False,E,-0.0,ollama:qwen3-coder:30b,10,randomized,2.025326,1.418484,2.302585,raw,numbers_10,0.0
False,C,0.0,ollama:qwen3-coder:30b,10,eager,0.0,0.0,0.0,raw,mixed_signed_vector,0.4
False,C,0.0,ollama:qwen3-coder:30b,10,lazy,0.0,0.0,0.0,raw,mixed_signed_vector,0.4
False,C,0.0,ollama:qwen3-coder:30b,10,eager,0.0,0.0,0.0,raw,small_positive_vector,0.4
False,C,0.0,ollama:qwen3-coder:30b,10,lazy,0.0,0.0,0.0,raw,small_positive_vector,0.4
False,D,0.0,ollama:qwen3-coder:30b,10,bfs,0.0,0.0,0.0,raw,branching_1,0.4
False,D,0.0,ollama:qwen3-coder:30b,10,dfs,0.0,0.0,0.0,raw,branching_1,0.4
False,E,0.0,ollama:qwen3-coder:30b,10,deterministic,0.0,0.0,0.0,raw,letters_8,0.4
False,E,-0.0,ollama:qwen3-coder:30b,10,randomized,2.025326,1.418484,2.302585,raw,letters_8,0.4
False,E,0.0,ollama:qwen3-coder:30b,10,deterministic,0.0,0.0,0.0,raw,numbers_10,0.4
False,E,-0.0,ollama:qwen3-coder:30b,10,randomized,2.025326,1.418484,2.302585,raw,numbers_10,0.4
False,C,0.0,ollama:qwen3-coder:30b,10,eager,0.0,0.0,0.0,raw,mixed_signed_vector,0.8
False,C,0.0,ollama:qwen3-coder:30b,10,lazy,0.0,0.0,0.0,raw,mixed_signed_vector,0.8
False,C,0.0,ollama:qwen3-coder:30b,10,eager,0.0,0.0,0.0,raw,small_positive_vector,0.8
False,C,0.0,ollama:qwen3-coder:30b,10,lazy,0.0,0.0,0.0,raw,small_positive_vector,0.8
False,D,0.0,ollama:qwen3-coder:30b,10,bfs,0.0,0.0,0.0,raw,branching_1,0.8
False,D,0.0,ollama:qwen3-coder:30b,10,dfs,0.0,0.0,0.0,raw,branching_1,0.8
False,E,0.0,ollama:qwen3-coder:30b,10,deterministic,0.0,0.0,0.0,raw,letters_8,0.8
False,E,-0.0,ollama:qwen3-coder:30b,10,randomized,2.025326,1.418484,2.302585,raw,letters_8,0.8
False,E,0.0,ollama:qwen3-coder:30b,10,deterministic,0.0,0.0,0.0,raw,numbers_10,0.8
False,E,-0.0,ollama:qwen3-coder:30b,10,randomized,2.025326,1.418484,2.302585,raw,numbers_10,0.8
