candidate_id,citation,url,claim_or_hypothesis,invert_testable,invert_class,required_generation,required_detector_changes,human_annotation,open_data,reviewer_impact,implementation_effort,risk_invalid_construct,notes
C01,"Lee et al. 2025 (EMNLP Findings): How Diversely Can Language Models Solve Problems?",https://arxiv.org/abs/2503.00691,LLM-generated correct code shows low algorithmic diversity vs humans; temperature increases diversity with correctness tradeoff,yes,"C,D,E,derived",yes,no,no,yes,high,medium,medium,INVERT can test process-trace diversity not syntax clustering; uses frozen detectors on new samples
C02,"Hong et al. 2024: Is Functional Correctness Enough?",https://arxiv.org/abs/2408.14504,Pass@k rises but inter-code similarity stays high; instruction tuning increases correctness while reducing diversity,yes,"C,D,E,derived",yes,no,no,yes,high,medium,low,Process fingerprints complement Sim@K; no LLM-judge similarity needed
C03,"Kirk et al. 2024: Generative Monoculture in LLMs",https://arxiv.org/abs/2407.02209,Aligned LLMs narrow output diversity vs training distribution; simple sampling fixes insufficient,yes,"C,D,E,derived",partial,no,no,yes,high,low,medium,Preflight at T=0 already shows monoculture on C/D; extension via temperature/model family
C04,"Zhang et al. 2025: Verbalized Sampling",https://arxiv.org/html/2510.01171v1,Mode collapse from typicality bias; distribution-level prompts recover diversity,maybe,"derived",yes,no,no,yes,medium,medium,high,Prompting intervention; less natural fit to pole-named Family1 tasks
C05,"Ren et al. 2025: Optimizing Temperature for Multi-Sample Inference (TURN)",https://arxiv.org/html/2502.05234v1,Optimal temperature for pass@k exceeds pass@1; entropy turning point predicts best T,yes,"C,D,E,derived",yes,no,no,yes,medium,medium,low,Maps to process-diversity vs temperature curves on INVERT tasks
C06,"Liu et al. 2023: EvalPlus",https://arxiv.org/abs/2305.01210,Augmented tests reveal fragile correctness; execution-based evaluation essential,partial,external,no,no,no,yes,medium,low,high,Already probed externally; not primary extension path
C07,"Chen et al. 2021: Codex / HumanEval",https://arxiv.org/abs/2107.03374,Pass@k functional correctness is standard code LM metric,partial,external,no,no,yes,medium,low,high,Out of scope without adapters; informs contrast only
C08,"OpenAI 2024: Learning to Reason with LLMs (o1)",https://openai.com/index/learning-to-reason-with-llms/,Reasoning models use extended CoT improving hard programming tasks,yes,"C,D,E",yes,no,no,partial,high,medium,medium,Compare reasoning vs coder models on same Family1 tasks
C09,"Zhang et al. 2024: o1-Coder",https://arxiv.org/abs/2412.00154,Reasoning-before-code yields better programming via MCTS/PRM,yes,"C,D,E",yes,no,no,partial,high,high,medium,Needs reasoning-capable open models
C10,"Li et al. 2025: Towards Leveraging Execution Traces for APR",https://aclanthology.org/2025.knowledgenlp-1.17/,Execution traces help repair but raw traces often too long; optimized traces help,yes,"C,D,E,derived",yes,no,no,yes,high,medium,medium,Test whether repair preserves process signatures on INVERT valid artifacts
C11,"DynaFix 2025: Iterative APR with dynamic traces",https://arxiv.org/abs/2512.24635,Closed-loop trace feedback improves repair vs one-shot,yes,"C,D,E,derived",yes,no,no,partial,medium,high,medium,Heavy infra; simplified one-pass repair variant testable
C12,"INVERT preflight 2026: Process trace diversity",internal://process_trace_diversity_preflight,T=0 frozen runs show monoculture on C/D; diversity only on E:randomized,yes,"C,D,E,B",no,no,no,yes,high,low,low,Establishes baseline; motivates temperature/rep scaling
C13,"Shi et al. 2024: EffiBench",https://arxiv.org/abs/2402.02037,LLMs produce efficient but stereotyped code; efficiency diversity low,partial,D,yes,no,no,yes,medium,high,high,External adapter risk; deprioritize
C14,"Jain et al. 2024: LiveCodeBench",https://arxiv.org/abs/2403.07974,Contamination-resistant competitive programming eval,partial,external,yes,no,no,yes,medium,high,high,New benchmark family; excluded
C15,"Jimenez et al. 2023: SWE-bench",https://arxiv.org/abs/2310.06770,Real-repo repair benchmark; patch passes tests,maybe,external,yes,no,no,yes,medium,very_high,very_high,Repair hypothesis better tested on INVERT synthetic repair pipeline first
C16,"Roziere et al. 2023: Code Llama",https://arxiv.org/abs/2308.12950,Specialized code models outperform general LLMs on HumanEval,yes,"C,D,E",yes,no,no,yes,medium,medium,low,Compare coder-specialized vs general base on Family1
C17,"Hui et al. 2024: Qwen2.5-Coder",https://arxiv.org/abs/2409.12186,Scaling coder models improves pass@1; family already in INVERT artifact,yes,"C,D,E",partial,no,no,yes,medium,low,low,Frozen runs exist; size sweep needs new generation
C18,"Wang et al. 2025: EpiCoder (ICML)",https://proceedings.mlr.press/v267/wang25bi.html,Synthetic data diversity improves code LM capability,partial,derived,yes,no,no,partial,low,high,high,Training intervention; not artifact-compatible short-term
C19,"Zhang et al. 2025: We're Different, We're the Same",https://arxiv.org/abs/2501.19361,Creative homogeneity across LLM families,maybe,"derived",yes,no,no,yes,medium,medium,medium,Process-trace homogeneity is sharper test under outcome equivalence
C20,"Kirk et al. 2024 + Hong 2024 synthesis",see C01-C03,Self-consistency/pass@k benefits from diversity but selection may collapse to dominant trace,yes,"C,D,E,derived",yes,no,no,yes,high,medium,low,Sample k at T>0; measure diversity before/after selection
C21,"INVERT Core v2 protocol (local)",internal://EXTERNAL_VARIABILITY,Outcome-stability variability sparse on external code without trace contract,partial,external,no,no,no,yes,low,low,low,Informs avoidance of adapter-based external validation
C22,"Smith 2025: Scaling pass@k and temperature",https://kurtosis.github.io/scaling/2025/06/01/pass_at_k_scaling.html,T* scales with k; tail difficulty affects optimal temperature,yes,"derived",yes,no,no,yes,medium,medium,low,Secondary analysis on temperature sweep data
C23,"Posterior-GRPO 2025",https://arxiv.org/abs/2508.05170,Process rewards matter for code RL; outcome-only rewards ignore reasoning quality,maybe,"derived",yes,no,no,partial,medium,very_high,high,Training-focused; not short-term extension
C24,"Austin et al. 2021: MBPP",https://arxiv.org/abs/2108.07732,Standard pass@k on short Python functions,partial,external,yes,no,yes,low,high,high,Benchmark family excluded
C25,"INVERT robustness large_n (internal)",internal://core_v2_robustness_large_n,More repetitions may reveal latent diversity at fixed T=0,maybe,"C,D,E",partial,no,no,yes,medium,low,low,Cheap preflight: check if N=20 runs exist or need generation
