rank,hypothesis_id,research_question,motivation_literature,invert_class,dataset_source,models,prompts,metrics,expected_outputs,claim_if_positive,claim_if_null,risks,go_no_go_criterion,reviewer_impact,novelty,effort,rejection_risk_reduction,artifact_compatible,no_human_annotation,no_llm_judge,no_adapter
1,H01_temperature_process_diversity,Does sampling temperature increase bounded process-trace diversity among valid outcome-equivalent artifacts?,"Lee et al. 2025; Hong et al. 2024; TURN 2025; INVERT preflight monoculture at T=0","C,D,E,derived",Family1 tasks JSON (existing); new gen only,"qwen2.5-coder:14b, devstral:latest, qwen3-coder:30b","Named pole prompts; T in {0,0.4,0.8,1.0}; 20 reps per cell","trace_fingerprint richness, Shannon H, Simpson, valid_rate, recovery_rate","ecology_by_temperature.csv, model_temperature_curves.csv","Higher T yields higher process H on C/D/E without adapter changes","T>0 does not increase process diversity; supports generative monoculture under equivalence","Detector unchanged; diversity may appear only on E randomized pole again","GO if >=2 dynamic classes show H increase at T>=0.8 for >=2 models with valid_rate>=0.5",very_high,high,medium,high,yes,yes,yes,yes
2,H02_neutral_prompt_process_bias,When prompts omit explicit pole names do LLMs default to measurable process poles?,"Kirk 2024 monoculture; INVERT threats (prompt-named poles); architecture NFR literature","C,D,E",Family1 tasks with neutral prompt template,"qwen2.5-coder:14b, devstral:latest, qwen3-coder:30b",Neutral: implement task without naming eager/lazy/BFS/DFS/deterministic; 10 reps T=0,"pole_distribution, default_pole_rate, valid_rate, entropy of assigned poles","neutral_pole_distribution.csv, bias_heatmap.csv","Models show stable default process biases differing by model family","Uniform or random pole distribution; no measurable bias","Task stubs may still imply pole; neutral prompt may reduce validity","GO if >=2 models show >=70% default to one pole on >=2 classes with valid_rate>=0.4",very_high,very_high,medium,very_high,yes,yes,yes,yes
3,H03_reasoning_vs_coder_process,Do reasoning-capable models produce different process traces than coder models at matched validity?,"OpenAI o1 2024; o1-Coder 2024; P-GRPO 2025","C,D,E",Family1 tasks,"qwen2.5-coder:14b vs deepseek-r1 / qwen3 thinking (if available)",Standard named-pole prompts T=0; 10 reps,"trace fingerprints, pole recovery, cross-model divergence","reasoning_vs_coder_comparison.csv","Reasoning models shift quantity/order/variability traces at equal validity","No process-trace difference beyond recovery rate",Reasoning models may be API-only or slow; construct validity if models differ in size not type,"GO if >=2 classes show significant fingerprint divergence between pairs at matched valid_n>=30",high,high,medium,high,partial,yes,yes,yes
4,H04_self_consistency_process_collapse,Does pass@k / self-consistency selection reduce process diversity among correct samples?,"Hong 2024 Sim@K; Lee 2025; pass@k literature","C,D,E,derived",Family1; sample k=20 at T=0.8,"qwen2.5-coder:14b, devstral:latest",Named pole; generate k samples; select first valid or majority-output cluster,"H_pre_selection, H_post_selection, diversity_loss","self_consistency_diversity.csv","Selection collapses process diversity even when pass@k rises","Diversity preserved after selection; weak collapse claim",Output-cluster selection != standard pass@k; may conflate output and process,"GO if median diversity_loss>=0.3 bits for >=2 classes",high,high,medium,medium,yes,yes,yes,yes
5,H05_repair_process_drift,Does automated repair to pass behavioral gate preserve or alter process signatures?,"Trace-based APR 2025; DynaFix 2025","C,D,E,derived",Invalid artifacts from frozen pilots + new invalid gen,"qwen2.5-coder:14b",Single-pass model repair or rule fixer; compare trace pre/post on newly valid,"trace_distance, pole_flip_rate, valid_rate_gain","repair_process_drift.csv","Repair often flips or homogenizes process poles while fixing tests","Repair preserves process pole in majority of cases",Repair may fail to produce valid code; model repair is generation not annotation,"GO if >=15% of repaired-valid artifacts flip process pole or fingerprint",high,high,high,medium,yes,yes,yes,yes
6,H06_specialized_vs_base_process,Do code-specialized models show stronger process monoculture than base instruct models?,"Code Llama 2023; Hong 2024 instruction tuning reduces diversity","C,D,E",Family1 tasks,"base instruct vs coder variant pairs (same family)",Named pole T=0; 10 reps,"richness, dominance, recovery accuracy","specialized_vs_base.csv","Specialization reduces process diversity at equal validity","No difference; specialization affects validity only",Matched pairs hard to find in Ollama; size confound,"GO if coder model richness <= 0.5 * base richness on >=2 classes",medium,medium,medium,medium,yes,yes,yes,yes
7,H07_model_size_process_diversity,Does increasing model size reduce or increase process trace diversity?,"Lee 2025 model size analysis; Qwen2.5-Coder scaling","C,D,E",Family1,"qwen2.5-coder:7b,14b,32b (if available)",Named pole T=0; 10 reps,"richness vs size, valid_rate","size_diversity_curve.csv","Larger models more canonical (lower H)","Larger models more diverse or no trend",Size covaries with training; Ollama may lack 7b,"GO if monotonic richness-size trend with r^2>=0.5 across >=3 sizes",medium,medium,low,low,partial,yes,yes,yes,yes
8,H08_cross_class_process_coupling,Are model process biases correlated across quantity/order/variability classes?,"INVERT discussion axis conjecture; empirical SE coupling",derived,Frozen + optional new gen,Existing 4 local models,Use frozen detection fingerprints per model,"cross-class Spearman correlation of richness/recovery","cross_class_coupling.csv","Models strong on lazy also BFS-biased etc.","No cross-class structure",Preflight monoculture limits signal; coupling may be artifact of survival,"GO if |rho|>=0.5 between >=2 class pairs for >=3 models",medium,medium,low,low,yes,yes,yes,yes
9,H09_rep_scaling_hidden_diversity,Does increasing repetitions reveal latent process diversity at T=0 without temperature change?,"INVERT preflight N=5; pass@k sample size literature","C,D,E",Family1,One coder model,Named pole T=0; compare N=5 vs N=30,"richness at N=5 vs N=30, rare archetype rate","rep_scaling.csv","Rare traces appear only at high N","N=30 still monoculture on C/D",Expensive generation; may replicate E-randomized only,"GO if N=30 richness >= 2x N=5 for >=2 deterministic poles",medium,medium,medium,low,yes,yes,yes,yes
10,H10_instruction_monoculture_process,Does chat/instruct tuning collapse process traces relative to base checkpoints?,"Kirk 2024; Hong 2024; Verbalized Sampling 2025",derived,Family1,Base vs instruct pairs,Named pole T=0,"process H base vs instruct","instruction_monoculture.csv","Instruct models lower process H at equal valid rate","No process-level instruct effect",Base models may not be available in Ollama,"GO if instruct richness < base on >=3 classes",medium,medium,high,medium,partial,yes,yes,yes,yes
