generator_model,task_id,dimension,n,llm_accuracy,keyword_accuracy,llm_minus_keyword
anthropic,dependency_order,concurrency,10,0.500000,0.500000,0.000000
anthropic,dependency_order,security,10,0.700000,0.500000,0.200000
anthropic,lru_cache,concurrency,10,1.000000,1.000000,0.000000
anthropic,lru_cache,security,10,0.900000,0.100000,0.800000
anthropic,merge_intervals,concurrency,10,0.500000,0.500000,0.000000
anthropic,merge_intervals,security,10,1.000000,1.000000,0.000000
anthropic,rate_limiter,concurrency,10,1.000000,1.000000,0.000000
anthropic,rate_limiter,security,10,1.000000,0.200000,0.800000
anthropic,sanitize_filename,concurrency,10,0.500000,0.500000,0.000000
anthropic,sanitize_filename,security,10,0.500000,0.500000,0.000000
anthropic,validate_email_like,concurrency,10,0.500000,0.500000,0.000000
anthropic,validate_email_like,security,10,0.500000,0.500000,0.000000
openai,dependency_order,concurrency,10,0.500000,0.500000,0.000000
openai,dependency_order,security,10,0.500000,0.500000,0.000000
openai,lru_cache,concurrency,10,0.900000,0.900000,0.000000
openai,lru_cache,security,9,0.777778,0.555556,0.222222
openai,merge_intervals,concurrency,6,0.500000,0.500000,0.000000
openai,merge_intervals,security,6,0.500000,1.000000,-0.500000
openai,rate_limiter,concurrency,10,1.000000,1.000000,0.000000
openai,rate_limiter,security,10,1.000000,1.000000,0.000000
openai,sanitize_filename,concurrency,10,0.500000,0.500000,0.000000
openai,sanitize_filename,security,10,0.500000,0.500000,0.000000
openai,validate_email_like,concurrency,10,0.500000,0.500000,0.000000
openai,validate_email_like,security,10,0.700000,1.000000,-0.300000
