section,key,value,count
category,taxonomy_category,,4
category,taxonomy_category,A,94
category,taxonomy_category,C,22
task,task_id,dependency_order,20
task,task_id,lru_cache,20
task,task_id,merge_intervals,20
task,task_id,rate_limiter,20
task,task_id,sanitize_filename,20
task,task_id,validate_email_like,20
dimension,dimension,concurrency,60
dimension,dimension,security,60
generator_model,generator_model,anthropic,60
generator_model,generator_model,openai,60
category_by_task,dependency_order,A,15
category_by_task,dependency_order,C,5
category_by_task,lru_cache,A,15
category_by_task,lru_cache,C,5
category_by_task,merge_intervals,,4
category_by_task,merge_intervals,A,13
category_by_task,merge_intervals,C,3
category_by_task,rate_limiter,A,20
category_by_task,sanitize_filename,A,17
category_by_task,sanitize_filename,C,3
category_by_task,validate_email_like,A,14
category_by_task,validate_email_like,C,6
category_by_dimension,concurrency,,2
category_by_dimension,concurrency,A,41
category_by_dimension,concurrency,C,17
category_by_dimension,security,,2
category_by_dimension,security,A,53
category_by_dimension,security,C,5
category_by_generator_model,anthropic,A,54
category_by_generator_model,anthropic,C,6
category_by_generator_model,openai,,4
category_by_generator_model,openai,A,40
category_by_generator_model,openai,C,16
