generator_model,task_id,dimension,n_pairs,mean_text_distance,mean_ast_similarity,threading_gain,lock_gain,input_validation_gain,raise_gain
anthropic,dependency_order,concurrency,5,0.880606,0.122860,0.000000,0.000000,0.000000,0.000000
anthropic,dependency_order,security,5,0.832939,0.209243,0.000000,0.000000,0.000000,0.000000
anthropic,lru_cache,concurrency,5,0.584305,0.767827,1.000000,1.000000,0.000000,0.000000
anthropic,lru_cache,security,5,0.970805,0.072677,0.000000,0.000000,0.000000,0.000000
anthropic,merge_intervals,concurrency,5,0.714007,0.549444,0.000000,0.000000,0.000000,0.000000
anthropic,merge_intervals,security,5,0.545295,0.409009,0.000000,0.000000,0.000000,1.000000
anthropic,rate_limiter,concurrency,5,0.686136,0.615180,1.000000,1.000000,0.200000,0.200000
anthropic,rate_limiter,security,5,0.741137,0.000000,0.000000,0.000000,0.400000,0.000000
anthropic,sanitize_filename,concurrency,5,0.862959,0.286740,0.000000,0.000000,0.000000,0.000000
anthropic,sanitize_filename,security,5,0.318802,0.661887,0.000000,0.000000,0.000000,0.000000
anthropic,validate_email_like,concurrency,5,0.090483,0.928207,0.000000,0.000000,0.000000,0.000000
anthropic,validate_email_like,security,5,0.410304,0.633466,0.000000,0.000000,0.000000,0.000000
openai,dependency_order,concurrency,5,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
openai,dependency_order,security,5,0.569418,0.210170,0.000000,0.000000,0.000000,0.000000
openai,lru_cache,concurrency,5,0.505006,0.623761,0.800000,0.800000,0.000000,0.400000
openai,lru_cache,security,5,0.169560,0.898379,0.000000,0.000000,0.000000,1.000000
openai,merge_intervals,concurrency,5,0.044966,0.998159,0.000000,0.000000,0.000000,0.000000
openai,merge_intervals,security,5,0.620350,0.448274,0.000000,0.000000,0.000000,1.000000
openai,rate_limiter,concurrency,5,0.555934,0.541046,1.000000,1.000000,0.000000,1.000000
openai,rate_limiter,security,5,0.393447,0.798464,0.000000,0.000000,0.000000,1.000000
openai,sanitize_filename,concurrency,5,0.257715,0.871243,0.000000,0.000000,0.000000,0.000000
openai,sanitize_filename,security,5,0.586207,0.186774,0.000000,0.000000,0.000000,0.000000
openai,validate_email_like,concurrency,5,0.489639,0.493246,0.000000,0.000000,0.800000,0.800000
openai,validate_email_like,security,5,0.622229,0.452235,0.000000,0.000000,0.800000,1.000000
